Province_State,Country_Region,Total Cases
Alabama,US,232
Alabama,US,727
Alabama,US,103
Alabama,US,109
Alabama,US,261
Alabama,US,54
Alabama,US,132
Alabama,US,680
Alabama,US,172
Alabama,US,89
Alabama,US,219
Alabama,US,39
Alabama,US,107
Alabama,US,93
Alabama,US,72
Alabama,US,245
Alabama,US,279
Alabama,US,76
Alabama,US,64
Alabama,US,261
Alabama,US,110
Alabama,US,398
Alabama,US,245
Alabama,US,259
Alabama,US,345
Alabama,US,362
Alabama,US,179
Alabama,US,692
Alabama,US,100
Alabama,US,154
Alabama,US,172
Alabama,US,54
Alabama,US,110
Alabama,US,79
Alabama,US,531
Alabama,US,256
Alabama,US,2535
Alabama,US,73
Alabama,US,420
Alabama,US,181
Alabama,US,372
Alabama,US,320
Alabama,US,80
Alabama,US,90
Alabama,US,1060
Alabama,US,116
Alabama,US,160
Alabama,US,410
Alabama,US,1802
Alabama,US,88
Alabama,US,1010
Alabama,US,551
Alabama,US,0
Alabama,US,49
Alabama,US,122
Alabama,US,142
Alabama,US,79
Alabama,US,100
Alabama,US,482
Alabama,US,441
Alabama,US,55
Alabama,US,397
Alabama,US,253
Alabama,US,854
Alabama,US,0
Alabama,US,480
Alabama,US,61
Alabama,US,48
Alabama,US,141
Alaska,US,5
Alaska,US,3
Alaska,US,612
Alaska,US,47
Alaska,US,0
Alaska,US,1
Alaska,US,13
Alaska,US,11
Alaska,US,2
Alaska,US,13
Alaska,US,172
Alaska,US,1
Alaska,US,0
Alaska,US,29
Alaska,US,130
Alaska,US,27
Alaska,US,13
Alaska,US,15
Alaska,US,277
Alaska,US,7
Alaska,US,17
Alaska,US,22
Alaska,US,0
Alaska,US,8
Alaska,US,10
Alaska,US,10
Alaska,US,0
Alaska,US,21
Alaska,US,0
Alaska,US,0
Alaska,US,2
Alaska,US,5
Alaska,US,13
American Samoa,US,34
Arizona,US,639
Arizona,US,643
Arizona,US,526
Arizona,US,415
Arizona,US,189
Arizona,US,40
Arizona,US,159
Arizona,US,18846
Arizona,US,1669
Arizona,US,971
Arizona,US,0
Arizona,US,4301
Arizona,US,1814
Arizona,US,245
Arizona,US,0
Arizona,US,1388
Arizona,US,1257
Arkansas,US,95
Arkansas,US,82
Arkansas,US,283
Arkansas,US,1002
Arkansas,US,203
Arkansas,US,57
Arkansas,US,14
Arkansas,US,123
Arkansas,US,65
Arkansas,US,92
Arkansas,US,101
Arkansas,US,148
Arkansas,US,42
Arkansas,US,105
Arkansas,US,84
Arkansas,US,388
Arkansas,US,295
Arkansas,US,246
Arkansas,US,104
Arkansas,US,41
Arkansas,US,44
Arkansas,US,84
Arkansas,US,358
Arkansas,US,82
Arkansas,US,99
Arkansas,US,581
Arkansas,US,65
Arkansas,US,201
Arkansas,US,83
Arkansas,US,161
Arkansas,US,64
Arkansas,US,231
Arkansas,US,78
Arkansas,US,76
Arkansas,US,316
Arkansas,US,103
Arkansas,US,30
