Province_State,Country_Region,Total Cases
Alabama,US,19790
Alabama,US,69860
Alabama,US,7485
Alabama,US,8091
Alabama,US,18704
Alabama,US,3030
Alabama,US,6551
Alabama,US,41421
Alabama,US,10859
Alabama,US,6755
Alabama,US,13009
Alabama,US,2259
Alabama,US,8553
Alabama,US,5162
Alabama,US,4428
Alabama,US,17185
Alabama,US,21291
Alabama,US,3604
Alabama,US,3776
Alabama,US,11804
Alabama,US,4738
Alabama,US,31520
Alabama,US,16507
Alabama,US,11031
Alabama,US,22522
Alabama,US,29837
Alabama,US,12367
Alabama,US,34229
Alabama,US,5887
Alabama,US,12033
Alabama,US,7969
Alabama,US,2309
Alabama,US,5728
Alabama,US,5866
Alabama,US,32660
Alabama,US,18379
Alabama,US,238727
Alabama,US,4737
Alabama,US,30406
Alabama,US,9389
Alabama,US,47646
Alabama,US,32150
Alabama,US,3370
Alabama,US,5293
Alabama,US,116086
Alabama,US,6093
Alabama,US,10113
Alabama,US,32967
Alabama,US,134986
Alabama,US,6742
Alabama,US,73840
Alabama,US,46540
Alabama,US,0
Alabama,US,2673
Alabama,US,6339
Alabama,US,9264
Alabama,US,6527
Alabama,US,13030
Alabama,US,78112
Alabama,US,33302
Alabama,US,3176
Alabama,US,28602
Alabama,US,14611
Alabama,US,70976
Alabama,US,0
Alabama,US,24154
Alabama,US,4397
Alabama,US,3659
Alabama,US,9427
Alaska,US,1332
Alaska,US,2003
Alaska,US,124334
Alaska,US,13021
Alaska,US,0
Alaska,US,1240
Alaska,US,2407
Alaska,US,1326
Alaska,US,1803
Alaska,US,2271
Alaska,US,33699
Alaska,US,798
Alaska,US,0
Alaska,US,11995
Alaska,US,22694
Alaska,US,5148
Alaska,US,5899
Alaska,US,4952
Alaska,US,40792
Alaska,US,7617
Alaska,US,5532
Alaska,US,5794
Alaska,US,0
Alaska,US,940
Alaska,US,1848
Alaska,US,3521
Alaska,US,675
Alaska,US,2482
Alaska,US,6
Alaska,US,0
Alaska,US,786
Alaska,US,983
Alaska,US,1757
American Samoa,US,8320
Arizona,US,36336
Arizona,US,39086
Arizona,US,52821
Arizona,US,21401
Arizona,US,14101
Arizona,US,2717
Arizona,US,5950
Arizona,US,1530296
Arizona,US,67291
Arizona,US,48374
Arizona,US,0
Arizona,US,317052
Arizona,US,156974
Arizona,US,19628
Arizona,US,0
Arizona,US,60313
Arizona,US,71174
Arkansas,US,7009
Arkansas,US,6249
Arkansas,US,10722
Arkansas,US,77394
Arkansas,US,11277
Arkansas,US,3595
Arkansas,US,1194
Arkansas,US,7284
Arkansas,US,3126
Arkansas,US,6412
Arkansas,US,5146
Arkansas,US,8055
Arkansas,US,2677
Arkansas,US,6794
Arkansas,US,6606
Arkansas,US,47352
Arkansas,US,18657
Arkansas,US,16702
Arkansas,US,5745
Arkansas,US,2071
Arkansas,US,3656
Arkansas,US,5638
Arkansas,US,42997
Arkansas,US,4488
Arkansas,US,3108
Arkansas,US,27083
Arkansas,US,5252
Arkansas,US,19801
Arkansas,US,5638
Arkansas,US,13058
Arkansas,US,4657
