Country/Region,Province/State,Total Deaths Cases
Afghanistan,,7896
Albania,,3598
Algeria,,6881
Andorra,,165
Angola,,1933
Antarctica,,0
Antigua and Barbuda,,146
Argentina,,130472
Armenia,,8727
Australia,Australian Capital Territory,228
Australia,New South Wales,6529
Australia,Northern Territory,91
Australia,Queensland,2783
Australia,South Australia,1365
Australia,Tasmania,256
Australia,Victoria,7370
Australia,Western Australia,952
Austria,,21970
Azerbaijan,,10138
Bahamas,,833
Bahrain,,1553
Bangladesh,,29445
Barbados,,579
Belarus,,7118
Belgium,,33814
Belize,,688
Benin,,163
Bhutan,,21
Bolivia,,22365
Bosnia and Herzegovina,,16280
Botswana,,2801
Brazil,,699276
Brunei,,225
Bulgaria,,38228
Burkina Faso,,396
Burma,,19490
Burundi,,38
Cabo Verde,,413
Cambodia,,3056
Cameroon,,1965
Canada,Alberta,5622
Canada,British Columbia,5249
Canada,Diamond Princess,1
Canada,Grand Princess,0
Canada,Manitoba,2464
Canada,New Brunswick,834
Canada,Newfoundland and Labrador,318
Canada,Northwest Territories,22
Canada,Nova Scotia,794
Canada,Nunavut,7
Canada,Ontario,16234
Canada,Prince Edward Island,93
Canada,Quebec,18160
Canada,Repatriated Travellers,0
Canada,Saskatchewan,1890
Canada,Yukon,32
Central African Republic,,113
Chad,,194
Chile,,64273
China,Anhui,7
China,Beijing,20
China,Chongqing,11
China,Fujian,2
China,Gansu,2
China,Guangdong,10
China,Guangxi,2
China,Guizhou,2
China,Hainan,6
China,Hebei,7
China,Heilongjiang,18
China,Henan,23
China,Hong Kong,13467
China,Hubei,4515
China,Hunan,4
China,Inner Mongolia,1
China,Jiangsu,0
China,Jiangxi,2
China,Jilin,5
China,Liaoning,2
China,Macau,121
China,Ningxia,0
China,Qinghai,0
China,Shaanxi,5
China,Shandong,10
China,Shanghai,595
China,Shanxi,1
China,Sichuan,12
China,Tianjin,3
China,Tibet,0
China,Unknown,82195
China,Xinjiang,3
China,Yunnan,4
China,Zhejiang,1
Colombia,,142339
Comoros,,161
Congo (Brazzaville),,388
Congo (Kinshasa),,1464
Costa Rica,,9245
Cote d'Ivoire,,834
Croatia,,17987
Cuba,,8530
Cyprus,,1330
Czechia,,42491
Denmark,Faroe Islands,28
Denmark,Greenland,21
Denmark,,8296
Diamond Princess,,13
Djibouti,,189
Dominica,,74
Dominican Republic,,4384
Ecuador,,36014
Egypt,,24812
El Salvador,,4230
Equatorial Guinea,,183
Eritrea,,103
Estonia,,2946
Eswatini,,1425
Ethiopia,,7572
Fiji,,883
Finland,,8967
France,French Guiana,413
France,French Polynesia,649
France,Guadeloupe,1010
France,Martinique,1092
France,Mayotte,187
France,New Caledonia,314
France,Reunion,921
France,Saint Barthelemy,6
France,Saint Pierre and Miquelon,2
France,St Martin,63
France,Wallis and Futuna,7
France,,161512
Gabon,,306
Gambia,,372
Georgia,,16971
Germany,,168935
Ghana,,1462
Greece,,34779
Grenada,,238
Guatemala,,20182
Guinea,,467
Guinea-Bissau,,176
Guyana,,1298
Haiti,,860
Holy See,,0
Honduras,,11111
Hungary,,48762
Iceland,,263
India,,530779
Indonesia,,160941
Iran,,144933
Iraq,,25375
Ireland,,8708
Israel,,12329
Italy,,188322
Jamaica,,3514
Japan,,72997
Jordan,,14122
Kazakhstan,,19071
Kenya,,5688
Kiribati,,18
"Korea, North",,6
"Korea, South",,34093
Kosovo,,3211
Kuwait,,2570
Kyrgyzstan,,2991
Laos,,758
Latvia,,6269
Lebanon,,10841
Lesotho,,723
Liberia,,295
Libya,,6437
Liechtenstein,,89
Lithuania,,9596
Luxembourg,,1220
MS Zaandam,,2
Madagascar,,1423
Malawi,,2686
Malaysia,,36967
Maldives,,311
Mali,,743
Malta,,828
Marshall Islands,,17
Mauritania,,997
Mauritius,,1044
Mexico,,333188
Micronesia,,61
Moldova,,12003
Monaco,,67
Mongolia,,2136
Montenegro,,2808
Morocco,,16296
Mozambique,,2242
Namibia,,4090
Nauru,,1
Nepal,,12020
Netherlands,Aruba,282
Netherlands,"Bonaire, Sint Eustatius and Saba",41
Netherlands,Curacao,301
Netherlands,Sint Maarten,91
Netherlands,,22990
New Zealand,Cook Islands,2
New Zealand,Niue,0
New Zealand,,2548
Nicaragua,,245
Niger,,315
Nigeria,,3155
North Macedonia,,9662
Norway,,5213
Oman,,4628
Pakistan,,30644
Palau,,9
Panama,,8609
Papua New Guinea,,670
Paraguay,,19878
Peru,,219539
Philippines,,66188
Poland,,119010
Portugal,,26266
Qatar,,688
Romania,,67736
Russia,,388478
Rwanda,,1468
Saint Kitts and Nevis,,47
Saint Lucia,,409
Saint Vincent and the Grenadines,,123
Samoa,,29
San Marino,,122
Sao Tome and Principe,,77
Saudi Arabia,,9618
Senegal,,1971
Serbia,,17881
Seychelles,,172
Sierra Leone,,126
Singapore,,1722
Slovakia,,21035
Slovenia,,7078
Solomon Islands,,153
Somalia,,1361
South Africa,,102595
South Sudan,,138
Spain,,119479
Sri Lanka,,16830
Sudan,,5017
Summer Olympics 2020,,0
Suriname,,1404
Sweden,,23777
Switzerland,,14210
Syria,,3164
Taiwan*,,17672
Tajikistan,,125
Tanzania,,846
Thailand,,33918
Timor-Leste,,138
Togo,,290
Tonga,,13
Trinidad and Tobago,,4355
Tunisia,,29341
Turkey,,101492
Tuvalu,,0
US,,1123836
Uganda,,3630
Ukraine,,119283
United Arab Emirates,,2349
United Kingdom,Anguilla,12
United Kingdom,Bermuda,160
United Kingdom,British Virgin Islands,64
United Kingdom,Cayman Islands,37
United Kingdom,Channel Islands,0
United Kingdom,Falkland Islands (Malvinas),0
United Kingdom,Gibraltar,111
United Kingdom,Guernsey,66
United Kingdom,Isle of Man,116
United Kingdom,Jersey,161
United Kingdom,Montserrat,8
United Kingdom,Pitcairn Islands,0
United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",0
United Kingdom,Turks and Caicos Islands,38
United Kingdom,,219948
Uruguay,,7617
Uzbekistan,,1637
Vanuatu,,14
Venezuela,,5854
Vietnam,,43186
West Bank and Gaza,,5708
Winter Olympics 2022,,0
Yemen,,2159
Zambia,,4057
Zimbabwe,,5671
